index,Route,MeanRating,MeanSentimentScore,DominantSentiment,RouteCount,airline
6,Singapore -> Istanbul,5.666666666666667,0.3600833333333333,Positive,6,Turkish Airlines
7,Istanbul -> Cairo,1.2,-0.2449199999999999,Negative,5,Turkish Airlines
8,Istanbul -> Los Angeles,1.0,-0.4101,Negative,5,Turkish Airlines
9,Istanbul -> Madrid,4.4,0.1513199999999999,Negative,5,Turkish Airlines
0,Lisbon -> Funchal,3.4285714285714284,0.1196571428571428,Negative,14,EasyJet
1,Funchal -> Lisbon,3.5,0.13884,Positive,10,EasyJet
2,Amsterdam -> London,3.333333333333333,0.0209666666666666,Negative,6,EasyJet
3,Amsterdam -> Luton,4.5,0.1435,Negative,6,EasyJet
4,London -> Geneva,1.5,-0.3184,Negative,6,EasyJet
5,Luton -> Amsterdam,2.833333333333333,0.3101333333333333,Positive,6,EasyJet
6,London -> Amsterdam,1.6,-0.42616,Negative,5,EasyJet
7,Venice -> Paris,2.4,0.22956,Negative,5,EasyJet
8,Belfast -> London,3.5,0.34095,Positive,4,EasyJet
9,Lisbon -> London,5.0,0.310075,Positive,4,EasyJet
0,Luton -> Larnaca,1.0833333333333333,-0.5406,Negative,12,WizzAir
1,Budapest -> London,1.8888888888888888,-0.3386777777777777,Negative,9,WizzAir
2,Luton -> Athens,4.888888888888889,-0.1213333333333333,Negative,9,WizzAir
3,Budapest -> Athens,3.25,-0.0946,Negative,8,WizzAir
4,Bucharest -> Luton,2.2857142857142856,-0.3222857142857143,Negative,7,WizzAir
5,Budapest -> Luton,2.571428571428572,0.0602428571428571,Negative,7,WizzAir
6,London -> Athens,3.142857142857143,-0.4609571428571429,Negative,7,WizzAir
7,Luton -> Bucharest,1.1666666666666667,0.3366499999999999,Positive,6,WizzAir
8,Luton -> Budapest,2.8,-0.11,Negative,5,WizzAir
9,Luton -> Lisbon,1.2,-0.53368,Negative,5,WizzAir
0,Tel Aviv -> Moscow,3.857142857142857,0.0743714285714285,Negative,7,Aeroflot Group
1,Moscow -> London,5.25,0.088825,Negative,4,Aeroflot Group
2,New York -> Tel Aviv -> Moscow,1.75,-0.304975,Negative,4,Aeroflot Group
3,London -> Moscow,8.0,0.9843333333333332,Positive,3,Aeroflot Group
4,Moscow -> Los Angeles,3.6666666666666665,0.4115999999999999,Positive,3,Aeroflot Group
5,New York -> Moscow,5.0,0.1223333333333333,Negative,3,Aeroflot Group
6,Athens -> Moscow,2.0,0.1225,Positive,2,Aeroflot Group
7,Hong Kong -> Moscow,2.0,0.0549,Neutral,2,Aeroflot Group
8,Male -> Moscow,1.0,-0.71875,Negative,2,Aeroflot Group
9,Moscow -> Bangkok,5.5,0.88125,Positive,2,Aeroflot Group
0,Istanbul -> Dubai,2.333333333333333,-0.1309333333333333,Negative,3,Pegasus Airlines
