index,Route,MeanRating,MeanSentimentScore,DominantSentiment,RouteCount,airline
6,Istanbul -> Bangkok,4.75,-0.1014875,Negative,8,Turkish Airlines
7,Toronto -> Istanbul,5.125,0.252725,Positive,8,Turkish Airlines
8,Athens -> Istanbul,3.142857142857143,0.4595285714285714,Positive,7,Turkish Airlines
9,New York -> Istanbul,1.4285714285714286,-0.6978714285714286,Negative,7,Turkish Airlines
0,Lisbon -> Funchal,3.4285714285714284,0.1196571428571428,Negative,14,EasyJet
1,Amsterdam -> London,2.5,-0.1559499999999999,Negative,10,EasyJet
2,Funchal -> Lisbon,3.5,0.13884,Positive,10,EasyJet
3,London -> Geneva,1.375,-0.1970375,Neutral,8,EasyJet
4,Amsterdam -> Luton,4.714285714285714,0.1073142857142857,Negative,7,EasyJet
5,London -> Amsterdam,1.4285714285714286,-0.5506142857142857,Negative,7,EasyJet
6,London -> Berlin,3.0,0.142,Positive,7,EasyJet
7,Venice -> Paris,2.2857142857142856,-0.0151428571428571,Negative,7,EasyJet
8,Luton -> Amsterdam,2.833333333333333,0.3101333333333333,Positive,6,EasyJet
9,Belfast -> London,3.0,0.12036,Positive,5,EasyJet
0,Luton -> Budapest,1.6842105263157894,0.0996894736842105,Positive,19,WizzAir
1,Luton -> Larnaca,1.4705882352941178,-0.2625705882352941,Negative,17,WizzAir
2,Budapest -> London,1.6,-0.3488466666666667,Negative,15,WizzAir
3,Luton -> Athens,4.307692307692308,-0.0502923076923076,Negative,13,WizzAir
4,nan -> nan,1.8333333333333333,-0.0530499999999999,Negative,12,WizzAir
5,Budapest -> Luton,2.6,0.01447,Negative,10,WizzAir
6,Luton -> Bucharest,2.111111111111111,0.1677555555555555,Negative,9,WizzAir
7,Budapest -> Athens,3.25,-0.0946,Negative,8,WizzAir
8,London -> Athens,2.875,-0.4773125,Negative,8,WizzAir
9,Bucharest -> Luton,2.2857142857142856,-0.3222857142857143,Negative,7,WizzAir
0,Tel Aviv -> Moscow,3.857142857142857,0.0743714285714285,Negative,7,Aeroflot Group
1,Hong Kong -> Moscow,4.4,0.29388,Negative,5,Aeroflot Group
2,Moscow -> London,5.25,0.088825,Negative,4,Aeroflot Group
3,New York -> Moscow,6.0,0.3324499999999999,Negative,4,Aeroflot Group
4,New York -> Tel Aviv -> Moscow,1.75,-0.304975,Negative,4,Aeroflot Group
5,Brussels -> Moscow,8.666666666666666,0.8803333333333333,Positive,3,Aeroflot Group
6,London -> Moscow,8.0,0.9843333333333332,Positive,3,Aeroflot Group
7,Moscow -> Bangkok,4.0,0.6785666666666667,Positive,3,Aeroflot Group
8,Moscow -> Los Angeles,3.6666666666666665,0.4115999999999999,Positive,3,Aeroflot Group
9,Phuket -> Moscow,7.0,0.1711333333333333,Neutral,3,Aeroflot Group
0,Amsterdam -> Istanbul,1.5,-0.2791749999999999,Negative,4,Pegasus Airlines
1,Beirut -> Istanbul,2.333333333333333,-0.3802,Negative,3,Pegasus Airlines
2,Dubai -> Istanbul,4.0,0.1933,Positive,3,Pegasus Airlines
3,Istanbul -> Beirut,1.0,-0.6522,Negative,3,Pegasus Airlines
4,Istanbul -> Dubai,2.333333333333333,-0.1309333333333333,Negative,3,Pegasus Airlines
5,Istanbul -> London,1.6666666666666667,0.1154666666666666,Positive,3,Pegasus Airlines
6,Istanbul -> Stansted,1.0,-0.4032,Negative,3,Pegasus Airlines
7,London -> Istanbul,1.0,-0.6205333333333333,Negative,3,Pegasus Airlines
8,Amsterdam -> Beirut -> Istanbul,1.5,-0.66855,Negative,2,Pegasus Airlines
9,Antalya -> Istanbul,1.0,-0.65205,Negative,2,Pegasus Airlines
0,London -> Stockholm,1.7777777777777777,-0.6008444444444445,Negative,9,SAS Group
1,Stockholm -> London,2.75,-0.0525875,Negative,8,SAS Group
2,Copenhagen -> Newark,4.857142857142857,0.7953714285714285,Positive,7,SAS Group
3,London -> Copenhagen,3.7142857142857135,-0.0562714285714285,Negative,7,SAS Group
4,Chicago -> Stockholm,3.8333333333333335,0.1129666666666666,Positive,6,SAS Group
5,London -> Oslo,4.833333333333333,0.3841666666666667,Positive,6,SAS Group
6,Los Angeles -> Copenhagen,1.8333333333333333,-0.1370166666666666,Negative,6,SAS Group
7,Copenhagen -> Washington,3.6,-0.21074,Negative,5,SAS Group
8,Manchester -> Stockholm,3.75,0.2649249999999999,Positive,4,SAS Group
9,Newark -> Copenhagen,5.5,0.527175,Neutral,4,SAS Group
